,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
HCLS1.2,8.35E-10,0.605975867,0.577,0.394,1.42E-05,1_1,HCLS1
CALHM6.3,8.90E-10,0.695839551,0.433,0.252,1.51E-05,1_1,CALHM6
GDI2.2,1.12E-09,0.619124291,0.523,0.345,1.89E-05,1_1,GDI2
HMGN1.1,1.27E-09,0.531716087,0.647,0.481,2.16E-05,1_1,HMGN1
CTSA.2,1.37E-09,-0.862360293,0.193,0.347,2.32E-05,1_1,CTSA
GPR183.2,1.65E-09,0.789753588,0.597,0.448,2.80E-05,1_1,GPR183
HMGB1.1,1.76E-09,0.26995497,0.853,0.683,2.98E-05,1_1,HMGB1
IL4I1.3,2.28E-09,-1.056890091,0.063,0.185,3.86E-05,1_1,IL4I1
FABP5.3,2.59E-09,-0.865650947,0.42,0.522,4.39E-05,1_1,FABP5
APLP2.2,3.34E-09,-0.845587368,0.407,0.556,5.67E-05,1_1,APLP2
CAPG.3,4.86E-09,-0.706178195,0.473,0.615,8.24E-05,1_1,CAPG
MNDA.1,5.19E-09,0.428253142,0.64,0.447,8.80E-05,1_1,MNDA
RGS18.1,5.86E-09,0.412454941,0.223,0.094,9.95E-05,1_1,RGS18
RAB13.1,6.32E-09,-0.679701747,0.123,0.279,0.000107221,1_1,RAB13
AHR.1,6.72E-09,0.58600771,0.3,0.148,0.000114058,1_1,AHR
C12orf45,7.53E-09,0.624080689,0.267,0.138,0.000127722,1_1,C12orf45
NRP2.1,7.53E-09,-0.698618835,0.037,0.151,0.000127867,1_1,NRP2
GPAT3,9.73E-09,0.690598305,0.147,0.046,0.000165198,1_1,GPAT3
CCL2.1,9.95E-09,-2.395512187,0.137,0.257,0.000168801,1_1,CCL2
RNASE1.1,1.05E-08,-1.503765712,0.083,0.198,0.000178925,1_1,RNASE1
SUB1,1.22E-08,0.445760407,0.757,0.61,0.000206437,1_1,SUB1
ARPC1B.1,1.34E-08,0.442724019,0.75,0.596,0.000226942,1_1,ARPC1B
HINT1.2,1.69E-08,0.418707972,0.703,0.528,0.000286338,1_1,HINT1
ATP5MG.1,1.81E-08,0.357057781,0.863,0.718,0.000307322,1_1,ATP5MG
EIF3E.3,1.97E-08,0.43801888,0.67,0.492,0.000334378,1_1,EIF3E
CST7.4,2.11E-08,0.713057104,0.27,0.128,0.00035834,1_1,CST7
SDCBP.2,3.09E-08,-0.684581571,0.507,0.608,0.00052366,1_1,SDCBP
CD1D,4.77E-08,0.409104478,0.177,0.066,0.000809788,1_1,CD1D
COX7C.2,4.82E-08,0.266569545,0.923,0.797,0.000817814,1_1,COX7C
CRYBG1,5.12E-08,0.483666868,0.21,0.088,0.000869504,1_1,CRYBG1
ADM.2,5.37E-08,-1.099686141,0.073,0.199,0.000911327,1_1,ADM
RILPL2.1,6.58E-08,0.560700044,0.353,0.204,0.001117438,1_1,RILPL2
CD52.3,8.17E-08,0.541791733,0.58,0.411,0.001386223,1_1,CD52
IL18.3,8.58E-08,0.568087764,0.34,0.194,0.001456897,1_1,IL18
ATP5MC2.2,9.38E-08,0.342443765,0.81,0.66,0.001591852,1_1,ATP5MC2
YWHAH.2,9.60E-08,0.647002803,0.587,0.426,0.001629381,1_1,YWHAH
SRGAP2B.1,9.66E-08,0.539575836,0.373,0.22,0.001639273,1_1,SRGAP2B
LSP1.2,1.15E-07,0.369127297,0.64,0.466,0.00195452,1_1,LSP1
HERPUD1.3,1.37E-07,0.537024591,0.673,0.519,0.002320076,1_1,HERPUD1
CD48,1.48E-07,0.41888976,0.36,0.206,0.002515549,1_1,CD48
LTB,1.54E-07,1.227918692,0.22,0.106,0.002610038,1_1,LTB
FAM118A.1,1.57E-07,0.534608647,0.237,0.11,0.002666942,1_1,FAM118A
RBPJ.1,2.17E-07,0.436815175,0.53,0.389,0.003686482,1_1,RBPJ
CORO1A.1,2.45E-07,0.450302472,0.583,0.424,0.004159959,1_1,CORO1A
TIMP2.2,2.70E-07,-0.799016959,0.18,0.315,0.004581007,1_1,TIMP2
EVI2A.2,2.77E-07,0.414166015,0.45,0.286,0.004699717,1_1,EVI2A
HMOX1.3,2.98E-07,-0.982578506,0.163,0.297,0.005055848,1_1,HMOX1
DSG3,3.18E-07,0.388050351,0.24,0.117,0.005391863,1_1,DSG3
LSM8,3.77E-07,0.466291885,0.447,0.314,0.006402249,1_1,LSM8
CTSH.3,4.37E-07,0.449122474,0.64,0.497,0.007415879,1_1,CTSH
CLEC4A.1,4.51E-07,0.457266862,0.25,0.123,0.007649324,1_1,CLEC4A
CLNS1A.3,4.82E-07,0.515055156,0.327,0.198,0.00817816,1_1,CLNS1A
TRIM22,4.82E-07,0.286895699,0.37,0.221,0.008188214,1_1,TRIM22
MYL12A.1,4.84E-07,0.393399064,0.81,0.678,0.008207471,1_1,MYL12A
BCL2A1.4,5.14E-07,-0.688022086,0.217,0.345,0.008715126,1_1,BCL2A1
SERP1.1,5.14E-07,0.375661079,0.683,0.542,0.008715297,1_1,SERP1
NPM1.1,5.60E-07,0.31195374,0.817,0.69,0.009496366,1_1,NPM1
CALM3.1,5.77E-07,-0.641286112,0.257,0.382,0.009788462,1_1,CALM3
PLAC8,5.83E-07,0.696658935,0.273,0.143,0.009886517,1_1,PLAC8
ENTPD1,5.99E-07,0.514499482,0.213,0.101,0.010173274,1_1,ENTPD1
DAB2.3,6.28E-07,-0.814735972,0.143,0.278,0.010652424,1_1,DAB2
PYCARD.2,6.81E-07,0.441372454,0.583,0.423,0.011557474,1_1,PYCARD
BRK1.1,7.61E-07,0.465987118,0.587,0.437,0.012921711,1_1,BRK1
PARVG,7.68E-07,0.455730584,0.3,0.167,0.013026799,1_1,PARVG
RPS6KA3,7.73E-07,0.474664051,0.197,0.089,0.013121124,1_1,RPS6KA3
CNN2,8.37E-07,0.532656521,0.29,0.173,0.014209988,1_1,CNN2
EEF2,1.27E-06,0.420033542,0.72,0.566,0.021485816,1_1,EEF2
GPSM3.2,1.37E-06,0.451453622,0.497,0.354,0.023200333,1_1,GPSM3
F13A1.2,1.92E-06,0.397859247,0.243,0.125,0.032552447,1_1,F13A1
MMP14.2,2.28E-06,-0.79791319,0.097,0.214,0.038770475,1_1,MMP14
RGS1.3,2.45E-06,0.338589621,0.787,0.659,0.041560427,1_1,RGS1
IL13RA1.1,2.46E-06,0.514913222,0.377,0.261,0.041769032,1_1,IL13RA1
EIF3M.1,2.71E-06,0.4331722,0.44,0.317,0.046077796,1_1,EIF3M
LY86.2,2.90E-06,0.341395704,0.447,0.298,0.049298028,1_1,LY86
HSD17B4.1,3.88E-06,-0.653731245,0.08,0.184,0.065914424,1_1,HSD17B4
EIF3K.3,3.95E-06,0.398299804,0.63,0.486,0.067023074,1_1,EIF3K
PSTPIP2,4.28E-06,0.250397949,0.21,0.105,0.072569241,1_1,PSTPIP2
ADAM28.1,4.53E-06,0.375765577,0.257,0.137,0.076887287,1_1,ADAM28
SARAF.1,4.66E-06,0.392758482,0.573,0.47,0.07914538,1_1,SARAF
NOP53.1,4.95E-06,0.452476857,0.587,0.443,0.084025271,1_1,NOP53
LRP1.1,5.35E-06,-0.641494381,0.067,0.169,0.090867755,1_1,LRP1
ETS2,5.52E-06,0.486753581,0.453,0.328,0.093647011,1_1,ETS2
SMDT1.1,5.62E-06,0.455933797,0.47,0.357,0.095425858,1_1,SMDT1
SMARCA2.1,6.08E-06,0.461866712,0.263,0.149,0.103185519,1_1,SMARCA2
TNFAIP2,6.14E-06,-0.677292468,0.087,0.194,0.104211988,1_1,TNFAIP2
NINJ1.1,6.66E-06,-0.533322318,0.123,0.244,0.112988963,1_1,NINJ1
PNN,6.70E-06,0.378324896,0.333,0.203,0.113784761,1_1,PNN
CHST12,6.79E-06,0.498918105,0.79,0.658,0.115178003,1_1,CHST12
HBEGF,6.89E-06,0.599179951,0.25,0.136,0.117015776,1_1,HBEGF
HMGN3.2,7.15E-06,0.314879278,0.563,0.412,0.12137497,1_1,HMGN3
PSMB9.1,7.30E-06,0.408770898,0.503,0.355,0.123915722,1_1,PSMB9
ADAP2.1,7.57E-06,-0.490787191,0.083,0.189,0.128435431,1_1,ADAP2
SLCO2B1.3,8.10E-06,-0.636558415,0.1,0.212,0.137394849,1_1,SLCO2B1
SMIM14.1,9.68E-06,0.435686986,0.273,0.16,0.164236938,1_1,SMIM14
SCARB2.1,9.91E-06,-0.591304858,0.103,0.214,0.168138185,1_1,SCARB2
MGST2.2,9.98E-06,0.411336807,0.417,0.278,0.169341476,1_1,MGST2
BRI3.2,1.18E-05,-0.594211906,0.273,0.397,0.199789154,1_1,BRI3
DNASE2.2,1.24E-05,-0.461394454,0.077,0.179,0.209884309,1_1,DNASE2
PHACTR1,1.28E-05,0.400949715,0.37,0.236,0.216439205,1_1,PHACTR1
BLVRB.2,1.28E-05,-0.696042207,0.187,0.313,0.217906457,1_1,BLVRB
SRSF7,1.29E-05,0.354299735,0.487,0.354,0.218540642,1_1,SRSF7
CELF2.1,1.33E-05,0.299665747,0.533,0.393,0.22491605,1_1,CELF2
DOK2,1.33E-05,0.402640594,0.22,0.113,0.224965968,1_1,DOK2
SRSF5.1,1.35E-05,0.347919689,0.567,0.43,0.229027454,1_1,SRSF5
CLIC1.2,1.44E-05,0.347433279,0.733,0.608,0.244412714,1_1,CLIC1
SPINT2,1.47E-05,0.370128849,0.473,0.332,0.249706475,1_1,SPINT2
FNDC3B.1,1.56E-05,-0.589623233,0.083,0.184,0.264729629,1_1,FNDC3B
ARHGAP15.1,1.60E-05,0.338367142,0.213,0.109,0.272066479,1_1,ARHGAP15
NLRP3,1.61E-05,0.476174599,0.203,0.102,0.273690933,1_1,NLRP3
ARPC3.2,1.64E-05,0.274904142,0.86,0.752,0.278646308,1_1,ARPC3
PLIN2.2,1.65E-05,-0.852384522,0.257,0.365,0.280498342,1_1,PLIN2
SLC15A3.2,1.77E-05,-0.589521272,0.093,0.198,0.300510357,1_1,SLC15A3
TOMM7.1,1.96E-05,0.349236044,0.74,0.606,0.332631096,1_1,TOMM7
GMFG.2,1.98E-05,0.307210342,0.66,0.545,0.335339969,1_1,GMFG
CSF2RA.2,2.31E-05,0.298854183,0.337,0.214,0.392530487,1_1,CSF2RA
NR4A2,2.32E-05,0.705308001,0.28,0.18,0.393233034,1_1,NR4A2
NUDT16.3,2.67E-05,0.27525958,0.29,0.174,0.45345521,1_1,NUDT16
CCND3,2.68E-05,0.402508277,0.227,0.121,0.454116417,1_1,CCND3
SRSF2.1,2.72E-05,0.306134378,0.53,0.392,0.462379294,1_1,SRSF2
NME2,2.92E-05,0.379253406,0.707,0.58,0.495490494,1_1,NME2
EEF1D.1,2.97E-05,0.294195254,0.817,0.696,0.503417625,1_1,EEF1D
APEX1.2,3.06E-05,0.402982611,0.32,0.21,0.518885177,1_1,APEX1
C20orf27.1,3.37E-05,0.384355224,0.237,0.131,0.571272254,1_1,C20orf27
MSR1.3,3.40E-05,-0.638755804,0.197,0.321,0.577616647,1_1,MSR1
CIITA.2,3.66E-05,0.351911436,0.247,0.138,0.620863063,1_1,CIITA
TMA7,3.70E-05,0.268981757,0.867,0.757,0.627732234,1_1,TMA7
SMAP2.1,4.39E-05,0.43295878,0.4,0.289,0.745829484,1_1,SMAP2
TRIM38,4.40E-05,0.355420714,0.263,0.155,0.746399415,1_1,TRIM38
IL2RG.1,4.46E-05,0.313120171,0.3,0.184,0.756604454,1_1,IL2RG
AXL.3,4.72E-05,0.483779466,0.23,0.129,0.801857588,1_1,AXL
HNRNPC,5.32E-05,0.328383664,0.617,0.499,0.903724879,1_1,HNRNPC
IGSF6.3,5.62E-05,0.313637724,0.49,0.354,0.954360395,1_1,IGSF6
PCBP2,6.04E-05,0.396207804,0.53,0.409,1,1_1,PCBP2
CD53.1,6.50E-05,0.274313433,0.607,0.469,1,1_1,CD53
C17orf49.1,6.78E-05,0.31698118,0.34,0.221,1,1_1,C17orf49
HNRNPF,6.86E-05,0.257616663,0.48,0.346,1,1_1,HNRNPF
VAMP2,6.89E-05,0.36817036,0.39,0.268,1,1_1,VAMP2
SLC7A7.1,6.96E-05,-0.510380831,0.14,0.25,1,1_1,SLC7A7
PTPRC.2,7.14E-05,0.325220093,0.567,0.433,1,1_1,PTPRC
NCL.2,7.85E-05,0.367120708,0.443,0.337,1,1_1,NCL
SOD2.2,8.34E-05,-0.730634191,0.397,0.513,1,1_1,SOD2
ANP32B,8.43E-05,0.429603619,0.45,0.345,1,1_1,ANP32B
LSM7,8.46E-05,0.382743899,0.457,0.345,1,1_1,LSM7
TBCA.1,8.90E-05,0.265275165,0.617,0.484,1,1_1,TBCA
PPHLN1,0.000105183,0.349829567,0.277,0.176,1,1_1,PPHLN1
MAP3K8,0.000109491,0.413219596,0.29,0.188,1,1_1,MAP3K8
LGALS3BP.3,0.000109514,-0.589526621,0.123,0.226,1,1_1,LGALS3BP
GABARAPL2.1,0.000111856,0.333121309,0.477,0.347,1,1_1,GABARAPL2
PLSCR1,0.000116212,0.342085021,0.49,0.361,1,1_1,PLSCR1
ANKRD44.2,0.000117389,0.391351951,0.267,0.16,1,1_1,ANKRD44
DDIT4.1,0.00011985,0.279443893,0.553,0.423,1,1_1,DDIT4
CORO1C,0.000128601,-0.484124922,0.153,0.263,1,1_1,CORO1C
BLOC1S6.2,0.000137105,0.295191851,0.433,0.309,1,1_1,BLOC1S6
PLEK,0.00014423,0.496091807,0.347,0.237,1,1_1,PLEK
ANXA1.2,0.000146513,0.379546136,0.687,0.563,1,1_1,ANXA1
FXYD5.2,0.0001481,0.26772622,0.683,0.556,1,1_1,FXYD5
CD37.1,0.000156506,0.374814259,0.533,0.423,1,1_1,CD37
CLEC2B.3,0.000165716,0.26462221,0.467,0.339,1,1_1,CLEC2B
A2M.3,0.00016883,-0.631326872,0.21,0.326,1,1_1,A2M
LAMP2.2,0.000202672,-0.562841401,0.2,0.311,1,1_1,LAMP2
EIF3F.3,0.000222991,0.407850182,0.497,0.384,1,1_1,EIF3F
SEC11A.2,0.000224585,0.389495346,0.537,0.434,1,1_1,SEC11A
GCA.1,0.000256873,0.252632175,0.36,0.246,1,1_1,GCA
HNMT.1,0.000261714,-0.551067831,0.227,0.329,1,1_1,HNMT
ACSL1.1,0.000337082,-0.488614678,0.167,0.272,1,1_1,ACSL1
RAB11A,0.000353223,0.341516244,0.397,0.286,1,1_1,RAB11A
MCL1,0.000380959,0.256008552,0.707,0.606,1,1_1,MCL1
NDUFS8,0.000432519,0.313798717,0.407,0.301,1,1_1,NDUFS8
GSN.1,0.000462127,0.307780137,0.633,0.512,1,1_1,GSN
WAS.1,0.000470105,0.34842257,0.29,0.189,1,1_1,WAS
PRPF38B.2,0.000484461,0.308096034,0.46,0.349,1,1_1,PRPF38B
TMEM176B.2,0.000511977,-0.421172449,0.253,0.367,1,1_1,TMEM176B
CD163.1,0.000590615,-0.510765177,0.343,0.448,1,1_1,CD163
PAIP2.1,0.000847919,0.302112688,0.39,0.287,1,1_1,PAIP2
OLR1,0.000978197,-0.527112451,0.19,0.291,1,1_1,OLR1
CEBPD.2,0.000988265,0.32331925,0.61,0.509,1,1_1,CEBPD
CIB1,0.001072728,0.282287877,0.527,0.424,1,1_1,CIB1
LCP1,0.001728889,0.276726331,0.553,0.448,1,1_1,LCP1
RANBP1,0.002007577,0.277411417,0.42,0.318,1,1_1,RANBP1
HSPA8.1,0.002617414,0.305635325,0.497,0.393,1,1_1,HSPA8
TXN.4,1.68E-214,4.368491224,0.993,0.582,2.86E-210,5,TXN
CCR7,1.09E-180,4.503764575,0.957,0.013,1.86E-176,5,CCR7
LAMP3,4.35E-177,3.153388531,0.971,0.013,7.38E-173,5,LAMP3
CCL22,1.64E-157,5.74553083,0.849,0.005,2.79E-153,5,CCL22
BIRC3.1,1.87E-152,4.474471669,0.986,0.096,3.17E-148,5,BIRC3
FSCN1,4.39E-142,3.658771377,0.892,0.036,7.45E-138,5,FSCN1
MARCKSL1.1,3.96E-127,3.396213744,0.957,0.119,6.72E-123,5,MARCKSL1
EBI3.2,1.11E-112,2.837547248,0.82,0.036,1.88E-108,5,EBI3
FCER1G.4,5.94E-109,-3.924066015,0.216,0.859,1.01E-104,5,FCER1G
TRAF1,1.71E-103,2.08554442,0.691,0.013,2.89E-99,5,TRAF1
LAD1,9.74E-102,2.034988916,0.741,0.026,1.65E-97,5,LAD1
GPR157,2.10E-101,1.691654499,0.719,0.021,3.56E-97,5,GPR157
IDO1.2,2.00E-99,3.669953821,0.856,0.172,3.39E-95,5,IDO1
CCL17.3,3.00E-96,5.254877906,0.77,0.053,5.09E-92,5,CCL17
CST7.5,4.08E-94,2.700482079,0.863,0.094,6.92E-90,5,CST7
LSP1.3,2.80E-93,2.125813113,0.986,0.454,4.75E-89,5,LSP1
PTGIR,9.29E-90,1.36480505,0.597,0.011,1.58E-85,5,PTGIR
RFTN1,4.17E-88,1.450193934,0.727,0.043,7.07E-84,5,RFTN1
AIF1.2,7.19E-87,-3.570048331,0.245,0.793,1.22E-82,5,AIF1
CD70,2.93E-84,1.747008896,0.547,0.006,4.98E-80,5,CD70
IL7R,1.34E-82,2.489313307,0.835,0.092,2.27E-78,5,IL7R
NCCRP1,1.95E-81,2.907114573,0.489,0.002,3.31E-77,5,NCCRP1
DAPP1,6.92E-79,1.724797396,0.784,0.079,1.17E-74,5,DAPP1
RAB9A,4.92E-78,2.066751811,0.806,0.093,8.35E-74,5,RAB9A
NUB1.2,2.25E-76,2.325928001,0.791,0.12,3.82E-72,5,NUB1
GRSF1.2,2.13E-75,1.903990038,0.827,0.108,3.62E-71,5,GRSF1
PFN1.1,2.54E-75,1.529570769,1,0.824,4.31E-71,5,PFN1
CLIC2.1,3.20E-75,1.465784856,0.719,0.067,5.43E-71,5,CLIC2
TRAFD1,1.58E-73,1.051745615,0.619,0.036,2.68E-69,5,TRAFD1
CRLF2,1.64E-73,0.98085316,0.453,0.002,2.79E-69,5,CRLF2
TOMM34,1.87E-71,1.398274254,0.59,0.026,3.17E-67,5,TOMM34
UBD,2.34E-71,2.191159376,0.676,0.052,3.97E-67,5,UBD
MGLL,6.07E-71,1.642773592,0.691,0.057,1.03E-66,5,MGLL
TRIP10,5.56E-70,1.411805172,0.626,0.039,9.44E-66,5,TRIP10
LYST,1.01E-69,1.036226819,0.705,0.087,1.72E-65,5,LYST
NFKB2,3.95E-69,0.709425118,0.561,0.04,6.70E-65,5,NFKB2
KIF2A,5.23E-69,1.503970759,0.604,0.034,8.88E-65,5,KIF2A
GRAMD1A,5.27E-69,1.057651036,0.669,0.07,8.95E-65,5,GRAMD1A
NFKB1,7.73E-69,1.296773839,0.77,0.109,1.31E-64,5,NFKB1
LY75.1,9.67E-69,1.395610854,0.662,0.056,1.64E-64,5,LY75
MYO1G.1,3.71E-68,1.812961357,0.748,0.088,6.29E-64,5,MYO1G
ANXA6,3.77E-68,1.987505705,0.777,0.109,6.41E-64,5,ANXA6
POGLUT1,7.90E-68,1.337470599,0.619,0.043,1.34E-63,5,POGLUT1
SINHCAF,2.64E-67,1.187206717,0.669,0.064,4.48E-63,5,SINHCAF
GPX4.1,2.98E-67,1.5390443,0.978,0.636,5.05E-63,5,GPX4
CSF2RA.3,4.08E-67,2.016405717,0.856,0.184,6.92E-63,5,CSF2RA
GSTP1.1,4.40E-67,1.573883024,1,0.638,7.47E-63,5,GSTP1
PMAIP1,1.21E-66,1.596922056,0.669,0.064,2.06E-62,5,PMAIP1
PTPN1.1,1.71E-66,1.384967235,0.842,0.148,2.90E-62,5,PTPN1
TNIP1.1,2.78E-65,1.330815152,0.705,0.081,4.72E-61,5,TNIP1
SOCS2,4.59E-65,1.129233353,0.54,0.026,7.79E-61,5,SOCS2
DUSP5,6.09E-65,1.448145966,0.59,0.041,1.03E-60,5,DUSP5
FNBP1.2,1.64E-64,1.656054982,0.856,0.163,2.78E-60,5,FNBP1
RHOF,2.60E-64,1.333285472,0.698,0.078,4.42E-60,5,RHOF
CFP.4,4.56E-64,1.599996514,0.712,0.083,7.74E-60,5,CFP
NRP2.2,5.16E-64,1.395753627,0.719,0.088,8.77E-60,5,NRP2
RELB,5.78E-64,1.196809368,0.604,0.044,9.80E-60,5,RELB
RAMP1,1.13E-63,2.386920824,0.59,0.042,1.92E-59,5,RAMP1
DUSP4,2.64E-63,1.963506287,0.626,0.049,4.49E-59,5,DUSP4
DCAF6,3.48E-63,0.867718752,0.612,0.059,5.90E-59,5,DCAF6
DDB2,4.83E-63,1.040515045,0.576,0.042,8.20E-59,5,DDB2
TRADD,1.11E-62,1.262430574,0.712,0.089,1.88E-58,5,TRADD
ITGB2.1,1.58E-62,-2.001424589,0.489,0.617,2.68E-58,5,ITGB2
IRF4,1.78E-62,0.860476357,0.453,0.013,3.02E-58,5,IRF4
SYNGR2.1,1.89E-62,1.80579096,0.921,0.337,3.21E-58,5,SYNGR2
ETV3,2.51E-62,0.84979094,0.547,0.047,4.26E-58,5,ETV3
LAPTM5.1,2.71E-62,-2.360398225,0.403,0.764,4.60E-58,5,LAPTM5
FOS.1,7.02E-62,-2.839149095,0.561,0.747,1.19E-57,5,FOS
TNFAIP2.1,1.18E-61,1.416752187,0.784,0.131,2.00E-57,5,TNFAIP2
CYBA.1,1.95E-61,-1.197632672,0.978,0.872,3.31E-57,5,CYBA
ATP6V1F.3,2.59E-61,-1.28885267,0.748,0.624,4.40E-57,5,ATP6V1F
RASSF4.3,4.29E-61,1.310905925,0.871,0.193,7.28E-57,5,RASSF4
MYL6.1,2.93E-60,1.387561435,1,0.829,4.97E-56,5,MYL6
TBC1D10A,4.99E-60,0.766705338,0.525,0.036,8.47E-56,5,TBC1D10A
HINT1.3,8.95E-60,1.576084346,0.978,0.523,1.52E-55,5,HINT1
SLAMF7,1.09E-59,1.034070032,0.511,0.026,1.86E-55,5,SLAMF7
CD40,1.72E-59,1.570491519,0.691,0.083,2.93E-55,5,CD40
GADD45A,2.22E-59,1.759530633,0.626,0.059,3.77E-55,5,GADD45A
SEC61B.1,2.72E-59,1.749612756,0.906,0.528,4.61E-55,5,SEC61B
CDKN1A.1,1.69E-58,1.474693653,0.863,0.192,2.86E-54,5,CDKN1A
RAB8B.1,2.08E-58,0.800118615,0.683,0.117,3.53E-54,5,RAB8B
PIM2,2.45E-58,0.947298294,0.532,0.042,4.15E-54,5,PIM2
REPIN1,4.31E-58,0.934108238,0.583,0.059,7.31E-54,5,REPIN1
ARHGAP10,4.61E-58,0.969402924,0.518,0.034,7.82E-54,5,ARHGAP10
RASSF2,6.31E-58,0.532621238,0.576,0.086,1.07E-53,5,RASSF2
CCDC28B,2.92E-57,0.966749218,0.46,0.019,4.96E-53,5,CCDC28B
ST20,5.32E-57,0.876905448,0.532,0.045,9.03E-53,5,ST20
CD274,6.28E-57,0.861836335,0.41,0.008,1.07E-52,5,CD274
MAP3K13.1,7.24E-57,1.610164142,0.842,0.182,1.23E-52,5,MAP3K13
STK4.2,1.77E-56,1.299464525,0.863,0.206,3.01E-52,5,STK4
P2RY10,3.42E-56,0.888938923,0.432,0.016,5.80E-52,5,P2RY10
ARMC9,3.49E-56,1.063657542,0.424,0.011,5.93E-52,5,ARMC9
SQLE,3.68E-56,0.828443585,0.482,0.033,6.24E-52,5,SQLE
TNIP2,5.02E-56,0.826828599,0.576,0.062,8.53E-52,5,TNIP2
CFLAR,3.04E-55,1.192555948,0.928,0.282,5.16E-51,5,CFLAR
PPM1K,3.99E-55,0.84065277,0.583,0.074,6.78E-51,5,PPM1K
N4BP2L1,6.06E-55,0.752642007,0.612,0.092,1.03E-50,5,N4BP2L1
PTGES2,6.16E-55,0.804408081,0.626,0.095,1.05E-50,5,PTGES2
CD80,7.14E-55,0.901040812,0.475,0.027,1.21E-50,5,CD80
RNF145,9.41E-55,0.718126323,0.755,0.177,1.60E-50,5,RNF145
GPBP1,9.65E-55,0.501121986,0.741,0.189,1.64E-50,5,GPBP1
MTSS1,1.35E-54,0.516780051,0.532,0.076,2.29E-50,5,MTSS1
RUBCN,1.88E-54,0.695232784,0.46,0.031,3.19E-50,5,RUBCN
MTHFS.1,4.95E-54,0.898812228,0.662,0.107,8.40E-50,5,MTHFS
VOPP1.1,7.92E-54,1.067634609,0.755,0.154,1.34E-49,5,VOPP1
ISCU.3,1.51E-53,1.641713416,0.885,0.27,2.57E-49,5,ISCU
NMRK1,2.78E-53,0.77009739,0.511,0.046,4.71E-49,5,NMRK1
IL15,3.12E-53,1.003440092,0.525,0.044,5.30E-49,5,IL15
IGSF8,4.98E-53,0.642000305,0.424,0.019,8.45E-49,5,IGSF8
ARHGAP45.1,7.87E-53,0.398639428,0.597,0.118,1.34E-48,5,ARHGAP45
TMBIM4.1,1.48E-52,-0.849636442,0.633,0.43,2.52E-48,5,TMBIM4
GRN.2,1.67E-52,-1.284096562,0.784,0.673,2.84E-48,5,GRN
CCM2,2.25E-52,0.815585304,0.576,0.074,3.82E-48,5,CCM2
PLEKHA5,2.26E-52,1.308115397,0.468,0.025,3.83E-48,5,PLEKHA5
CHST7,3.66E-52,0.849125251,0.41,0.014,6.21E-48,5,CHST7
HNRNPA1P48,4.17E-52,0.537323512,0.388,0.013,7.07E-48,5,HNRNPA1P48
IRF1,6.42E-52,0.801589561,0.647,0.115,1.09E-47,5,IRF1
C1orf162.3,1.58E-51,-3.112553813,0.014,0.611,2.69E-47,5,C1orf162
HLA-F,1.79E-51,0.862846201,0.755,0.173,3.04E-47,5,HLA-F
GPX1.2,2.47E-51,-2.421061264,0.374,0.831,4.20E-47,5,GPX1
PSD3,2.74E-51,0.830499846,0.468,0.035,4.65E-47,5,PSD3
NECAP2,4.58E-51,0.909230941,0.727,0.152,7.78E-47,5,NECAP2
BCL7C,5.61E-51,0.476100353,0.511,0.063,9.52E-47,5,BCL7C
NAV1,6.50E-51,0.731637058,0.482,0.046,1.10E-46,5,NAV1
ASMTL,6.51E-51,1.036174387,0.489,0.034,1.11E-46,5,ASMTL
SAMSN1.1,7.20E-51,1.895893188,0.842,0.286,1.22E-46,5,SAMSN1
CCL19,1.11E-50,3.177273969,0.54,0.048,1.88E-46,5,CCL19
ENO3,1.29E-50,0.945975418,0.396,0.013,2.19E-46,5,ENO3
CD83.1,2.10E-50,1.750548427,0.827,0.206,3.57E-46,5,CD83
TUBA1C.1,3.64E-50,1.283276165,0.799,0.182,6.18E-46,5,TUBA1C
MS4A6A.3,6.89E-50,-3.414897983,0.022,0.619,1.17E-45,5,MS4A6A
SPECC1,8.67E-50,0.631703228,0.504,0.061,1.47E-45,5,SPECC1
PPA1.4,9.30E-50,1.776447611,0.921,0.339,1.58E-45,5,PPA1
TSTD1,1.10E-49,1.015561452,0.691,0.127,1.87E-45,5,TSTD1
ANTXR2,1.23E-49,0.864035583,0.496,0.045,2.09E-45,5,ANTXR2
ACTG1,1.48E-49,1.32990442,0.993,0.823,2.52E-45,5,ACTG1
ACOT13,1.74E-49,0.933619333,0.561,0.068,2.96E-45,5,ACOT13
GLUL.3,2.55E-49,-2.533422121,0.388,0.704,4.32E-45,5,GLUL
TMEM176A.2,2.65E-49,1.496068491,0.827,0.207,4.49E-45,5,TMEM176A
RPL7L1,2.78E-49,0.488304888,0.338,0.004,4.72E-45,5,RPL7L1
SIL1,3.36E-49,0.929823849,0.633,0.103,5.70E-45,5,SIL1
FBXW5,4.15E-49,0.631759809,0.633,0.125,7.04E-45,5,FBXW5
TNFAIP8,4.87E-49,0.886964243,0.719,0.157,8.27E-45,5,TNFAIP8
LUZP1,9.13E-49,0.650265119,0.561,0.089,1.55E-44,5,LUZP1
NAA25,1.56E-48,0.58524807,0.439,0.039,2.64E-44,5,NAA25
ARHGEF2,1.78E-48,0.446935174,0.504,0.077,3.02E-44,5,ARHGEF2
